"name","url","effect"
"stench","https://pokeapi.co/api/v2/ability/1/","This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party."
"drizzle","https://pokeapi.co/api/v2/ability/2/","The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay."
"speed-boost","https://pokeapi.co/api/v2/ability/3/","This Pokémon's Speed rises one stage after each turn."
"battle-armor","https://pokeapi.co/api/v2/ability/4/","Moves cannot score critical hits against this Pokémon.

This ability functions identically to shell armor."
"sturdy","https://pokeapi.co/api/v2/ability/5/","When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.

If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed."
"damp","https://pokeapi.co/api/v2/ability/6/","While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect."
"limber","https://pokeapi.co/api/v2/ability/7/","This Pokémon cannot be paralyzed.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle."
"sand-veil","https://pokeapi.co/api/v2/ability/8/","During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm."
"static","https://pokeapi.co/api/v2/ability/9/","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable."
"volt-absorb","https://pokeapi.co/api/v2/ability/10/","Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave."
"water-absorb","https://pokeapi.co/api/v2/ability/11/","Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

Water moves will ignore this Pokémon's substitute."
"oblivious","https://pokeapi.co/api/v2/ability/12/","This Pokémon cannot be infatuated and is immune to captivate.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared."
"cloud-nine","https://pokeapi.co/api/v2/ability/13/","While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock."
