"id","name","base_experience","height","weight","types","abilities","hp","attack","defense","sp_attack","sp_defense","speed"
"1","bulbasaur","64","7","69","grass|poison","overgrow|chlorophyll","45","49","49","65","65","45"
"2","ivysaur","142","10","130","grass|poison","overgrow|chlorophyll","60","62","63","80","80","60"
"5","charmeleon","142","11","190","fire","blaze|solar-power","58","64","58","80","65","80"
"8","wartortle","142","10","225","water","torrent|rain-dish","59","63","80","65","80","58"
"7","squirtle","63","5","90","water","torrent|rain-dish","44","48","65","50","64","43"
"3","venusaur","236","20","1000","grass|poison","overgrow|chlorophyll","80","82","83","100","100","80"
"4","charmander","62","6","85","fire","blaze|solar-power","39","52","43","60","50","65"
"9","blastoise","239","16","855","water","torrent|rain-dish","79","83","100","85","105","78"
"6","charizard","240","17","905","fire|flying","blaze|solar-power","78","84","78","109","85","100"
"10","caterpie","39","3","29","bug","shield-dust|run-away","45","30","35","20","20","45"
"13","weedle","39","3","32","bug|poison","shield-dust|run-away","40","35","30","20","20","50"
"16","pidgey","50","3","18","normal|flying","keen-eye|tangled-feet|big-pecks","40","45","40","35","35","56"
"15","beedrill","178","10","295","bug|poison","swarm|sniper","65","90","40","45","80","75"
"11","metapod","72","7","99","bug","shed-skin","50","20","55","25","25","30"
"17","pidgeotto","122","11","300","normal|flying","keen-eye|tangled-feet|big-pecks","63","60","55","50","50","71"
"12","butterfree","178","11","320","bug|flying","compound-eyes|tinted-lens","60","45","50","90","80","70"
"14","kakuna","72","6","100","bug|poison","shed-skin","45","25","50","25","25","35"
"18","pidgeot","216","15","395","normal|flying","keen-eye|tangled-feet|big-pecks","83","80","75","70","70","101"
"21","spearow","52","3","20","normal|flying","keen-eye|sniper","40","60","30","31","31","70"
"24","arbok","157","35","650","poison","intimidate|shed-skin|unnerve","60","95","69","65","79","80"
"19","rattata","51","3","35","normal","run-away|guts|hustle","30","56","35","25","35","72"
"23","ekans","58","20","69","poison","intimidate|shed-skin|unnerve","35","60","44","40","54","55"
"22","fearow","155","12","380","normal|flying","keen-eye|sniper","65","90","65","61","61","100"
"20","raticate","145","7","185","normal","run-away|guts|hustle","55","81","60","50","70","97"
"26","raichu","218","8","300","electric","static|lightning-rod","60","90","55","90","80","110"
"25","pikachu","112","4","60","electric","static|lightning-rod","35","55","40","50","50","90"
"29","nidoran-f","55","4","70","poison","poison-point|rivalry|hustle","55","47","52","40","40","41"
"32","nidoran-m","55","5","90","poison","poison-point|rivalry|hustle","46","57","40","40","40","50"
"27","sandshrew","60","6","120","ground","sand-veil|sand-rush","50","75","85","20","30","40"
"30","nidorina","128","8","200","poison","poison-point|rivalry|hustle","70","62","67","55","55","56"
"31","nidoqueen","227","13","600","poison|ground","poison-point|rivalry|sheer-force","90","92","87","75","85","76"
"34","nidoking","227","14","620","poison|ground","poison-point|rivalry|sheer-force","81","102","77","85","75","85"
"28","sandslash","158","10","295","ground","sand-veil|sand-rush","75","100","110","45","55","65"
"33","nidorino","128","9","195","poison","poison-point|rivalry|hustle","61","72","57","55","55","65"
"37","vulpix","60","6","99","fire","flash-fire|drought","38","41","40","50","65","65"
"40","wigglytuff","196","10","120","normal|fairy","cute-charm|competitive|frisk","140","70","45","85","50","45"
"35","clefairy","113","6","75","fairy","cute-charm|magic-guard|friend-guard","70","45","48","60","65","35"
"38","ninetales","177","11","199","fire","flash-fire|drought","73","76","75","81","100","100"
"39","jigglypuff","95","5","55","normal|fairy","cute-charm|competitive|friend-guard","115","45","20","45","25","20"
"36","clefable","217","13","400","fairy","cute-charm|magic-guard|unaware","95","70","73","95","90","60"
"42","golbat","159","16","550","poison|flying","inner-focus|infiltrator","75","80","70","65","75","90"
"41","zubat","49","8","75","poison|flying","inner-focus|infiltrator","40","45","35","30","40","55"
"45","vileplume","221","12","186","grass|poison","chlorophyll|effect-spore","75","80","85","110","90","50"
"48","venonat","61","10","300","bug|poison","compound-eyes|tinted-lens|run-away","60","55","50","40","55","45"
"43","oddish","64","5","54","grass|poison","chlorophyll|run-away","45","50","55","75","65","30"
"46","paras","57","3","54","bug|grass","effect-spore|dry-skin|damp","35","70","55","45","55","25"
"47","parasect","142","10","295","bug|grass","effect-spore|dry-skin|damp","60","95","80","60","80","30"
"44","gloom","138","8","86","grass|poison","chlorophyll|stench","60","65","70","85","75","40"
"49","venomoth","158","15","125","bug|poison","shield-dust|tinted-lens|wonder-skin","70","65","60","90","75","90"
"53","persian","154","10","320","normal","limber|technician|unnerve","65","70","60","65","65","115"
"56","mankey","61","5","280","fighting","vital-spirit|anger-point|defiant","40","80","35","35","45","70"
"51","dugtrio","149","7","333","ground","sand-veil|arena-trap|sand-force","35","100","50","50","70","120"
"50","diglett","53","2","8","ground","sand-veil|arena-trap|sand-force","10","55","25","35","45","95"
"54","psyduck","64","8","196","water","damp|cloud-nine|swift-swim","50","52","48","65","50","55"
"55","golduck","175","17","766","water","damp|cloud-nine|swift-swim","80","82","78","95","80","85"
"57","primeape","159","10","320","fighting","vital-spirit|anger-point|defiant","65","105","60","60","70","95"
"52","meowth","58","4","42","normal","pickup|technician|unnerve","40","45","35","40","40","90"
"61","poliwhirl","135","10","200","water","water-absorb|damp|swift-swim","65","65","65","50","50","90"
"58","growlithe","70","7","190","fire","intimidate|flash-fire|justified","55","70","45","70","50","60"
"59","arcanine","194","19","1550","fire","intimidate|flash-fire|justified","90","110","80","100","80","95"
